north   east   zone   longitude   latitude
4464199  439095  30  -3.7169289992449386  40.32610228249483
4471427  445348  30  -3.643947150203603  40.39164971702646
4465391  436177  30  -3.751393911982383  40.336622457550355
4472583  441200  30  -3.69292520082851  40.40178108413685
4465565  434207  30  -3.7746028467164123  40.33803695010704
4471151  445831  30  -3.638232977731243  40.38919488500053
4469694  437365  30  -3.737831015368094  40.375476033490614
4470841  433570  30  -3.7826512815714546  40.385514786658526
4480112  445119  30  -3.6473950850592143  40.4698739574984
4475520  444928  30  -3.649249828827314  40.42849418561816
4476242  449206  30  -3.5988764409081475  40.43527063480306
4464542  455885  30  -3.519322269006164  40.33024838154159
4471631  444612  30  -3.652636416551836  40.39343885655609
4472613  446214  30  -3.633844130815747  40.40239032311445
4466082  439638  30  -3.710715624157972  40.343104885826484
4476002  443817  30  -3.6623893101315432  40.43276200343062
4462623  426690  30  -3.8627564627681297  40.310908140554446
4480016  441684  30  -3.6879040079178416  40.468775103028555
4480016  441688  30  -3.687856826563758  40.46877538382209
4467142  441289  30  -3.691375244093959  40.35277181050243
4480589  442247  30  -3.6813153936160825  40.473976264869854
4481514  441978  30  -3.684573223144481  40.482290297209076
4488211  446134  30  -3.636111446291584  40.54289988382802
4489697  446336  30  -3.6338523436223236  40.556299462548544
4482720  439402  30  -3.7150792900066003  40.49297034729866
4474246  443307  30  -3.668245176839816  40.41690842716043
4474250  443307  30  -3.668245533354723  40.41694446131194
4475912  445734  30  -3.639781838000686  40.43207851287553
4472894  439744  30  -3.710111554841246  40.40447863034511
4464765  434568  30  -3.770271084682605  40.33085856075003
4467154  429473  30  -3.8305079886518816  40.351964521769595
4463572  439799  30  -3.7085835675876377  40.32050494599843
4475336  442693  30  -3.6755801985085195  40.42668565657789
4475268  442405  30  -3.6789689844359175  40.42605318983131
4476758  441481  30  -3.689998168429789  40.439411333620086
4471824  441666  30  -3.6873644849464298  40.394976386175784
4469526  436276  30  -3.7506414443050415  40.373880062136706
4475028  448187  30  -3.6107911616134323  40.42427131266281
4475173  448931  30  -3.6020327182819933  40.425623565921974
4468666  435845  30  -3.755631487474749  40.3660997400742
4473195  436865  30  -3.744067519733166  40.40697682453354
4482050  438829  30  -3.7217757305679267  40.48689273966312
4481501  439218  30  -3.7171335020009213  40.48197573355526
4479804  439410  30  -3.714706253366848  40.46670258012654
4478836  442722  30  -3.675553918851978  40.45821735038893
4476172  442919  30  -3.672991179017994  40.43423230645442
4476498  439089  30  -3.718175281920247  40.43689737640785
4481106  443920  30  -3.6616259031424514  40.47874828585702
4469481  447573  30  -3.617572035809223  40.37426184126239
4480936  450732  30  -3.581249636706561  40.47764892386136
4472810  442928  30  -3.672583388377501  40.403946258942604
4463962  434864  30  -3.7667049839368514  40.323647898146454
4466622  431106  30  -3.8112226184118727  40.34730855333679
4489241  447326  30  -3.6221215969605085  40.55225519007934
4489267  445338  30  -3.6456023084959552  40.55236059460688
4486734  444327  30  -3.6573192104861567  40.5294750705696
4490276  448344  30  -3.610183510598138  40.56164302046243
4477448  442098  30  -3.6827864982365153  40.445670369506026
4477760  441392  30  -3.691139944472569  40.44843153558077
4480581  442247  30  -3.6813146651769904  40.4739041974739
4473008  448445  30  -3.6075862133513463  40.40608987301467
4475148  452504  30  -3.5599121130090765  40.42561000243874
4476906  444813  30  -3.650725851951332  40.440972403547235
4473981  440772  30  -3.698098703772538  40.41434462717157
4476857  440805  30  -3.697977557669127  40.440255323248145
4478875  439707  30  -3.7111149041111413  40.458355398258284
4480404  439269  30  -3.71642677178576  40.472097303143535
4461766  462079  30  -3.4462440196160924  40.3055436722671
4481134  440507  30  -3.701891957431451  40.47876301834867
4470188  432919  30  -3.790251664733566  40.37958017490404
4478293  442671  30  -3.6761063532774494  40.45332223842868
4480302  441118  30  -3.6946067083444185  40.47131158056916
4480090  442533  30  -3.6778964537907624  40.46950089417212
4480260  445997  30  -3.6370511076466396  40.471264761181494
4476005  439381  30  -3.7146856657889455  40.432477560030954
4474454  454761  30  -3.5332569539594196  40.41948371865736
4475997  439381  30  -3.714684902791612  40.43240549262852
4474836  440245  30  -3.7043901419251584  40.422009197731725
4476952  443883  30  -3.661695125677276  40.44132455152413
4475141  440930  30  -3.696344284592247  40.42480569391507
4475484  440554  30  -3.7008085024801542  40.42786881590113
4475298  453630  30  -3.5466496513946053  40.427024832384085
4475015  451824  30  -3.5679179236946688  40.42437274710262
4475210  454691  30  -3.5341359161397596  40.426290525430346
4474468  455385  30  -3.5259028010724576  40.41964353129158
4477497  442594  30  -3.676942431488947  40.44614618129569
4473079  442325  30  -3.679713541129259  40.406328002674904
4468107  441213  30  -3.6923590701461153  40.36145974327814
4466104  441235  30  -3.69191553253988  40.343417079843135
4475894  440252  30  -3.704407060430347  40.4315406450723
4475801  440636  30  -3.699871476685998  40.43073035295976
4475734  441155  30  -3.69374695454204  40.430163663072854
4473168  440485  30  -3.7014051831079455  40.40700025567009
4476492  439089  30  -3.718174706788284  40.436843325938824
4471045  435534  30  -3.7595348315655905  40.38750678521138
4473032  440147  30  -3.7053755560473  40.405750870004816
4471613  441120  30  -3.693778188686389  40.3930371660735
4471612  441114  30  -3.69384878881176  40.393027733376286
4472070  442559  30  -3.676864930260354  40.39725455823515
4471339  438039  30  -3.73005197644207  40.390345351069676
4471339  438044  30  -3.7299930687585774  40.39034572297057
4475412  441864  30  -3.6853593968071783  40.42731278378167
4476430  442862  30  -3.6736863683059107  40.43655258528317
4484278  441160  30  -3.694480416773986  40.50713185996376
4477932  443471  30  -3.6666400698900956  40.45012497012875
4478515  444046  30  -3.659910966120377  40.45541582805965
4479161  445354  30  -3.644541210716769  40.46132236257657
4480264  445997  30  -3.6370514481725955  40.4713007952171
4480825  445895  30  -3.6383024849978733  40.47634792750333
4478026  448539  30  -3.6068846775402643  40.45130098111608
4477401  447785  30  -3.6157248038654997  40.44562359488379
4477085  446948  30  -3.625567850722695  40.44272389676441
4476291  445202  30  -3.646086279669229  40.43545787536997
4476110  444334  30  -3.6563037965017555  40.43376968663899
4476225  442214  30  -3.681307470531433  40.43466107272705
4476271  441624  30  -3.688267429773472  40.435034260318915
4475824  440548  30  -3.7009110297247485  40.43093126247716
4472315  439351  30  -3.714687519355916  40.399234189349606
4471876  438698  30  -3.722339624813902  40.39523165852239
4471387  437318  30  -3.7385511767050943  40.39072381410749
